"FIPS Code","County","State","Mask Usage","Infection Proportion","Death Proportion"
15009,"Maui","HI",0.911,0.0641452182275396,0.000621203342551832
16001,"Ada","ID",0.733,0.181443851266749,0.00177330368137014
16003,"Adams","ID",0.5805,0.129948765719609,0.00326036329762459
16005,"Bannock","ID",0.6345,0.165212736880466,0.00239158163265306
16007,"Bear Lake","ID",0.64825,0.122285714285714,0.00244897959183673
16009,"Benewah","ID",0.80475,0.178855667885567,0.00311895031189503
16011,"Bingham","ID",0.6125,0.156416226955203,0.00281985003524813
16013,"Blaine","ID",0.68125,0.141653273098475,0.00117284218756787
16015,"Boise","ID",0.75825,0.106244413229473,0.0014046737326012
16017,"Bonner","ID",0.70525,0.145739959334485,0.00303898205032904
16019,"Bonneville","ID",0.59775,0.185374006819976,0.00204935243822546
16021,"Boundary","ID",0.749,0.14136382196815,0.00400163331972234
16023,"Butte","ID",0.59725,0.149403157489411,0.00192529842125529
16025,"Camas","ID",0.7435,0.0976491862567812,0.000904159132007233
16027,"Canyon","ID",0.66975,0.193305169915901,0.00258865603069842
16029,"Caribou","ID",0.61825,0.150663871418588,0.00321453529000699
16031,"Cassia","ID",0.6105,0.168206408655847,0.00183104452767374
16033,"Clark","ID",0.55225,0.106508875739645,0
16035,"Clearwater","ID",0.754,0.198149840109639,0.00308359981726816
16037,"Custer","ID",0.74775,0.0947856315179606,0.00139049826187717
16039,"Elmore","ID",0.69875,0.161426338555487,0.00189015302969721
16041,"Franklin","ID",0.674,0.130513116171807,0.0018737388296339
16043,"Fremont","ID",0.57075,0.130849683181922,0.00137415069852661
16045,"Gem","ID",0.674,0.162268109540636,0.00386484098939929
16047,"Gooding","ID",0.55475,0.157652019237104,0.0028328611898017
16049,"Idaho","ID",0.73475,0.142317153656927,0.00233995320093598
16051,"Jefferson","ID",0.58675,0.152756854474239,0.00177429614006896
16053,"Jerome","ID",0.571,0.182574143863674,0.0022529903326233
16055,"Kootenai","ID",0.63525,0.191059584663573,0.00284857299770062
16057,"Latah","ID",0.874,0.120399920215418,0.00102223995212925
16059,"Lemhi","ID",0.6145,0.124081225862713,0.00261617042481625
16061,"Lewis","ID",0.7695,0.22225117248567,0.00599270453361126
16063,"Lincoln","ID",0.58275,0.143123369362654,0.00260901975400671
16065,"Madison","ID",0.58225,0.231839025734833,0.00105244693913349
16067,"Minidoka","ID",0.61175,0.156328722848044,0.0024716003612339
16069,"Nez Perce","ID",0.8275,0.161403682439121,0.00267273807166898
16071,"Oneida","ID",0.6645,0.132641800926948,0.00220701831825204
16073,"Owyhee","ID",0.6585,0.146663283430601,0.00346781696692887
16075,"Payette","ID",0.62225,0.179908980835873,0.00300613753079203
16077,"Power","ID",0.647,0.145944538471553,0.00221325348261945
16079,"Shoshone","ID",0.63775,0.171013817730166,0.00512342803912436
16081,"Teton","ID",0.60175,0.147092735957832,0.000576511283149399
16083,"Twin Falls","ID",0.57375,0.193420658854946,0.00277400492644858
16085,"Valley","ID",0.725,0.142029494382022,0.00114115168539326
16087,"Washington","ID",0.5625,0.190209927408279,0.00461055522856582
17001,"Adams","IL",0.61,0.235562008099641,0.0029342095208986
17003,"Alexander","IL",0.689,0.14684950529422,0.00225655268182607
17005,"Bond","IL",0.78025,0.177340801168879,0.0020698892000487
17007,"Boone","IL",0.877,0.177592260570746,0.001886299118482
17009,"Brown","IL",0.62775,0.178777743995135,0.00288841593189419
17011,"Bureau","IL",0.84375,0.162621061664828,0.00355522863797965
17013,"Calhoun","IL",0.672,0.190335513821481,0.00147710487444609
17015,"Carroll","IL",0.8145,0.201817546312478,0.00293603635092625
17017,"Cass","IL",0.69625,0.242364369803244,0.00329299415493537
17019,"Champaign","IL",0.86175,0.157371154423933,0.0010634797247352
17021,"Christian","IL",0.80525,0.196260525012382,0.00315750371471025
17023,"Clark","IL",0.69625,0.204196619389936,0.00343242018004015
